timestamp,date,time,pid,user,workspace,ip,client,command,args,file_path,nb_files,project,file_ext,duration_s,lapse_s,mem_cmd_mb,mem_proc_mb,rpc_in,rpc_out,db_read_locks,db_write_locks,rows_get,rows_pos,rows_scan,rows_put,rows_del
2026-04-26 22:38:46,2026-04-26,22:38:46,14612,jaapril,Jaapril_LAPTOP-2O6JSN7Q_7182,67.230.159.237,UE/v91,user-diff,-f -sa F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_03_Ville_japonais/Content/test_HLOD0_Instancing.uasset#have F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_..._ExternalActors__/test/5/1A/VUP29XOSGVTBSEE7DBRMJV.uasset#have F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_..._ExternalActors__/test/4/G4/X7NZ7V1S4AYJ2X4FPS18PR.uasset#have (64) F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_03_Ville_japonais/Content/test.umap#have,"[""F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_03_Ville_japonais/Content/test_HLOD0_Instancing.uasset#have"",""F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_..._ExternalActors__/test/5/1A/VUP29XOSGVTBSEE7DBRMJV.uasset#have"",""F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_..._ExternalActors__/test/4/G4/X7NZ7V1S4AYJ2X4FPS18PR.uasset#have (64)"",""F:/pforce 2/20261_NAND168_N12_Equipe01/TP3_Ville Japonaise/TP_03_Ville_japonais/Content/test.umap#have""]",4,20261_NAND168_N12_Equipe01,"[""uasset"",""umap""]",0.031,.031,,,0,0,5,2,3,2,8,2,0
2026-04-26 22:45:06,2026-04-26,22:45:06,10604,etardif4,etower_tp5_design,72.136.118.120,P4V/NTX64/2025.3/2828229/v98,user-add,-f -I -n c:\Users\emile\Desktop\Perforce\etower_tp5_design\20261_NAD_NAND158_TP5\TP5\Team1\BuildFinal\ReadMe.txt,"[""c:\\Users\\emile\\Desktop\\Perforce\\etower_tp5_design\\20261_NAD_NAND158_TP5\\TP5\\Team1\\BuildFinal\\ReadMe.txt""]",1,20261_NAD_NAND158_TP5,txt,0.156,.156,11,11,0,0,11,2,3,7,265,2,0
2026-04-26 22:45:07,2026-04-26,22:45:07,10904,ajvilliard,ajvilliard_bromontnew,142.116.223.170,UE/v91,user-diff,-f -sa D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Levels/L_ElvenForestCity_Lumen_NoRTX.umap#have D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...sh/Exterior_Construction/SM_Support_Pillar_Grouped.uasset#have D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...tCity/Mesh/Foliage/Pine_Trees/SM_Pine_Tree_Bare_04.uasset#have (18) D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Mesh/Foliage/Pine_Trees/SM_BigTree_09.uasset#have,"[""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Levels/L_ElvenForestCity_Lumen_NoRTX.umap#have"",""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...sh/Exterior_Construction/SM_Support_Pillar_Grouped.uasset#have"",""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...tCity/Mesh/Foliage/Pine_Trees/SM_Pine_Tree_Bare_04.uasset#have (18)"",""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Mesh/Foliage/Pine_Trees/SM_BigTree_09.uasset#have""]",4,Enseignement,"[""umap"",""uasset""]",0.031,.031,,,0,0,5,2,3,2,28,2,0
2026-04-26 22:45:12,2026-04-26,22:45:12,12340,ajvilliard,ajvilliard_bromontnew,142.116.223.170,UE/v91,user-diff,-f -sa C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/WhiteSquareTexture.uasset#have C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/GradientTexture0.uasset#have C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/Black.uasset#have C:/Program Files/Epic Games/UE_5.6/Engine/Content/EditorResources/S_Actor.uasset#have (7896) C:/Program Files/Epic Games/UE_5.6/Engine/Plugins/Fab/Content/Data/FabEos.uasset#have,"[""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/WhiteSquareTexture.uasset#have"",""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/GradientTexture0.uasset#have"",""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/Black.uasset#have"",""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EditorResources/S_Actor.uasset#have (7896)"",""C:/Program Files/Epic Games/UE_5.6/Engine/Plugins/Fab/Content/Data/FabEos.uasset#have""]",5,UE_5.6,uasset,1.79,1.79,20,20,0,0,27,2,3,86,152,2,0
2026-04-26 22:45:31,2026-04-26,22:45:31,15016,ajvilliard,ajvilliard_bromontnew,142.116.223.170,UE/v91,user-diff,-f -sa C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/WhiteSquareTexture.uasset#have C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/GradientTexture0.uasset#have C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/Black.uasset#have C:/Program Files/Epic Games/UE_5.6/Engine/Content/EditorResources/S_Actor.uasset#have (7896) C:/Program Files/Epic Games/UE_5.6/Engine/Plugins/Fab/Content/Data/FabEos.uasset#have,"[""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/WhiteSquareTexture.uasset#have"",""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/GradientTexture0.uasset#have"",""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EngineResources/Black.uasset#have"",""C:/Program Files/Epic Games/UE_5.6/Engine/Content/EditorResources/S_Actor.uasset#have (7896)"",""C:/Program Files/Epic Games/UE_5.6/Engine/Plugins/Fab/Content/Data/FabEos.uasset#have""]",5,UE_5.6,uasset,0.609,.609,20,20,0,0,27,2,3,86,152,2,0
2026-04-26 22:48:02,2026-04-26,22:48:02,10352,ajvilliard,ajvilliard_bromontnew,142.116.223.170,UE/v91,user-diff,-f -sa D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Levels/L_ElvenForestCity_Lumen_NoRTX.umap#have D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...sh/Exterior_Construction/SM_Support_Pillar_Grouped.uasset#have D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...tCity/Mesh/Foliage/Pine_Trees/SM_Pine_Tree_Bare_04.uasset#have (18) D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Mesh/Foliage/Pine_Trees/SM_BigTree_09.uasset#have,"[""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Levels/L_ElvenForestCity_Lumen_NoRTX.umap#have"",""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...sh/Exterior_Construction/SM_Support_Pillar_Grouped.uasset#have"",""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/Elve...tCity/Mesh/Foliage/Pine_Trees/SM_Pine_Tree_Bare_04.uasset#have (18)"",""D:/Enseignement/Session 4 - NAD/Projet04/Projet04/Content/ElvenForestCity/Mesh/Foliage/Pine_Trees/SM_BigTree_09.uasset#have""]",4,Enseignement,"[""umap"",""uasset""]",0.032,.032,,,0,0,5,2,3,2,28,2,0
2026-04-26 22:35:55,2026-04-26,22:35:55,9808,ecloutier1,F_TP5_DesignTeam5,24.225.248.28,UE/v91,user-edit,F:/UQAC/Cours/Mes_Projets/1/Design/TP5/20261_NAD_NAND158_TP5/TP5/Team5/Content/Niveaux/Persistent_Level.umap,"[""F:/UQAC/Cours/Mes_Projets/1/Design/TP5/20261_NAD_NAND158_TP5/TP5/Team5/Content/Niveaux/Persistent_Level.umap""]",1,20261_NAD_NAND158_TP5,umap,1108.0,,,,0,0,0,0,0,0,0,0,0
2026-04-26 22:34:23,2026-04-26,22:34:23,8372,mphelep,mphelep_perforce_home,135.0.228.219,P4V/NTX64/2025.4/2886649/v99,user-sync,d:\perforce home\20261_NAD_NAND168_N11_Equipe-01\...#head,"[""d:\\perforce home\\20261_NAD_NAND168_N11_Equipe-01\\...#head""]",1,20261_NAD_NAND168_N11_Equipe-01,,1200.0,1108,11,11,0,0,11,1101,1101,18,2559,1101,0
2026-04-26 22:32:54,2026-04-26,22:32:54,8880,lchasse1,lchasse1_TheLure,45.73.120.40,P4V/NTX64/2025.3/2851897/v98,user-sync,//20253_NAD_NAND302_Argent/TheLure_H26/...#head,"[""//20253_NAD_NAND302_Argent/TheLure_H26/...#head""]",1,20253_NAD_NAND302_Argent,,1289.0,,,,0,0,0,0,0,0,0,0,0
2026-04-26 22:34:38,2026-04-26,22:34:38,14156,vgenest,vgenest02,70.80.5.56,UE/v91,user-edit,D:/Perforce/20261_NAD_NAND124_TP2_SC-E/CinematiqueSonara/Content/Sequencer/LS_Introduction_Character.uasset,"[""D:/Perforce/20261_NAD_NAND124_TP2_SC-E/CinematiqueSonara/Content/Sequencer/LS_Introduction_Character.uasset""]",1,20261_NAD_NAND124_TP2_SC-E,uasset,1185.0,,,,0,0,0,0,0,0,0,0,0
